,,Rolando Pablos,,,,Sonia Traut,,,,Robert T. Melvin,,,,Christopher Reyes,,,,Jade McCullough,,,,Brandon Gonzales,,,,Tim Westley,,,,Manny Pelaez,,,,Bill Ruppel,,,,Armando Dominguez,,,,Adriana Rocha Garcia,,,,Gina Ortiz Jones,,,,Diana Flores Uriegas,,,,Clayton Perry,,,,John Courage,,,,Chris Herring,,,,James 'Jae' Melvin,,,,Andrew Fernandez Vicencio,,,,G. Zambrano,,,,Arturo Espinosa,,,,April Guadarrama,,,,Michael 'Sam' Samaniego,,,,Beto Altamirano,,,,Robert Salinas,,,,Melissa Cabello Havrda,,,,Mauricio 'Mau' Sanchez,,,,Santos Alvarado,,,,
Precinct,Registered Voters,Election Day,Absentee,Early Voting,Total Votes,Election Day,Absentee,Early Voting,Total Votes,Election Day,Absentee,Early Voting,Total Votes,Election Day,Absentee,Early Voting,Total Votes,Election Day,Absentee,Early Voting,Total Votes,Election Day,Absentee,Early Voting,Total Votes,Election Day,Absentee,Early Voting,Total Votes,Election Day,Absentee,Early Voting,Total Votes,Election Day,Absentee,Early Voting,Total Votes,Election Day,Absentee,Early Voting,Total Votes,Election Day,Absentee,Early Voting,Total Votes,Election Day,Absentee,Early Voting,Total Votes,Election Day,Absentee,Early Voting,Total Votes,Election Day,Absentee,Early Voting,Total Votes,Election Day,Absentee,Early Voting,Total Votes,Election Day,Absentee,Early Voting,Total Votes,Election Day,Absentee,Early Voting,Total Votes,Election Day,Absentee,Early Voting,Total Votes,Election Day,Absentee,Early Voting,Total Votes,Election Day,Absentee,Early Voting,Total Votes,Election Day,Absentee,Early Voting,Total Votes,Election Day,Absentee,Early Voting,Total Votes,Election Day,Absentee,Early Voting,Total Votes,Election Day,Absentee,Early Voting,Total Votes,Election Day,Absentee,Early Voting,Total Votes,Election Day,Absentee,Early Voting,Total Votes,Election Day,Absentee,Early Voting,Total Votes,Total
1001,507,0,0,4,4,0,0,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2,2,0,3,5,0,0,0,0,0,0,0,0,5,1,13,19,13,3,26,42,1,0,0,1,0,0,0,0,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,28,43,0,0,0,0,0,0,8,8,0,0,0,0,0,0,2,2,132
1002,674,7,0,6,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,0,2,6,0,0,0,0,0,0,0,0,2,1,4,7,8,0,8,16,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,7,0,0,0,0,0,0,0,0,2,0,1,3,0,0,0,0,56
1003,2245,5,0,9,14,1,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,3,5,3,0,11,14,0,0,0,0,1,0,0,1,11,1,25,37,37,0,62,99,0,0,1,1,4,0,3,7,2,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,23,1,40,64,0,0,1,1,11,0,11,22,0,0,0,0,0,0,0,0,273
1004,1062,1,0,8,9,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,6,0,7,13,0,0,0,0,0,0,0,0,7,0,8,15,11,2,15,28,0,0,0,0,1,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,9,14,1,0,0,1,3,0,6,9,0,0,0,0,0,0,1,1,97
1005,846,4,0,4,8,0,0,1,1,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,2,0,3,5,13,0,16,29,0,0,3,3,0,0,3,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,10,15,0,0,0,0,1,0,3,4,0,0,0,0,0,0,0,0,74
1006,2109,10,0,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,2,0,0,2,2,16,0,4,20,0,0,0,0,0,0,0,0,16,0,12,28,20,6,32,58,2,0,0,2,4,0,2,6,0,0,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,2,0,0,1,1,0,0,0,0,10,3,16,29,0,0,0,0,2,0,9,11,1,0,0,1,0,0,0,0,180
1007,1216,10,1,14,25,0,0,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,2,4,1,2,7,0,0,0,0,0,0,1,1,16,0,12,28,23,0,27,50,0,0,0,0,0,0,1,1,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,3,13,1,0,0,1,6,0,2,8,1,0,0,1,0,0,0,0,144
1008,1831,12,0,14,26,0,0,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,4,8,0,23,31,1,0,0,1,1,0,1,2,18,1,45,64,39,2,116,157,1,2,2,5,0,0,5,5,2,1,5,8,0,0,2,2,0,0,0,0,0,0,1,1,0,0,1,1,0,0,2,2,0,0,0,0,0,0,2,2,19,4,78,101,0,0,0,0,2,0,21,23,0,0,0,0,0,0,1,1,439
1010,639,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,2,0,8,10,17,0,20,37,0,0,0,0,0,0,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,18,24,0,0,0,0,2,1,12,15,0,0,0,0,0,0,0,0,96
1011,1089,3,0,9,12,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,2,0,0,0,0,2,0,2,4,3,0,5,8,0,0,0,0,1,0,0,1,9,0,10,19,11,0,7,18,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,7,9,0,0,0,0,4,0,5,9,0,0,0,0,0,0,0,0,86
1012,2174,13,0,13,26,0,0,0,0,0,0,1,1,0,0,3,3,0,0,0,0,0,0,0,0,12,0,5,17,3,0,3,6,0,0,0,0,0,0,0,0,12,2,13,27,14,3,30,47,0,1,0,1,2,1,2,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,11,18,1,0,0,1,3,1,1,5,1,0,2,3,0,0,0,0,161
1013,2361,10,0,7,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,3,0,11,14,0,0,0,0,1,0,0,1,14,0,17,31,24,1,32,57,1,0,0,1,2,0,0,2,3,0,3,6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,10,3,20,33,1,0,1,2,4,0,0,4,2,0,1,3,0,0,0,0,178
1014,1406,4,0,4,8,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,2,1,1,2,4,0,0,0,0,0,0,0,0,7,0,5,12,7,1,14,22,2,0,1,3,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,10,0,0,0,0,1,0,4,5,1,0,1,2,0,0,0,0,72
1015,1419,6,0,6,12,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,1,4,7,0,0,0,0,0,0,0,0,3,0,3,6,10,3,13,26,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,1,3,9,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,72
1016,1159,2,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,2,0,0,3,3,0,0,0,0,1,0,0,1,1,0,4,5,12,0,10,22,1,0,1,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,12,16,0,0,0,0,4,0,1,5,0,0,0,0,0,0,0,0,63
1017,245,1,2,2,5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,5,2,0,4,6,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
